function template, instantiations, multiple overload instantiations, developer, email, edit time, definition file path, line

generic function-like macro, instantiations, multiple overload instantiations, developer, email, edit time, definition file path, line

function implemented with void*, instantiations, multiple overload instantiations, developer, email, edit time, definition file path, line
operator delete, //222, //1, //patacongo, //patacongo@42af7a65-404d-4744-a932-0658087f49c3, //20120917, //nuttx/libxx/libxx_delete.cxx, //59
NXWidgets::CWindowEventHandler::handleBlockedEvent, //0, //0, //patacongo, //patacongo@42af7a65-404d-4744-a932-0658087f49c3, //20120917, //NxWidgets/libnxwidgets/include/cwindoweventhandler.hxx, //115
NXWidgets::CWindowEventHandlerList::raiseBlockedEvent, //0, //0, //patacongo, //patacongo@42af7a65-404d-4744-a932-0658087f49c3, //20120917, //NxWidgets/libnxwidgets/src/cwindoweventhandlerlist.cxx, //169
__aeabi_atexit, //0, //0, //patacongo, //patacongo@42af7a65-404d-4744-a932-0658087f49c3, //20120917, //nuttx/libxx/libxx_eabi_atexit.cxx, //78
NXWidgets::CNxWindow::bitmap, //0, //0, //patacongo, //patacongo@42af7a65-404d-4744-a932-0658087f49c3, //20120917, //NxWidgets/libnxwidgets/src/cnxwindow.cxx, //347
NXWidgets::CBitmap::getRun, //0, //0, //patacongo, //patacongo@42af7a65-404d-4744-a932-0658087f49c3, //20120917, //NxWidgets/libnxwidgets/src/cbitmap.cxx, //170
NxWM::CTouchscreen::listener, //0, //0, //patacongo, //patacongo@42af7a65-404d-4744-a932-0658087f49c3, //20120917, //NxWidgets/nxwm/src/ctouchscreen.cxx, //275
NxWM::CNxConsole::exitHandler, //0, //0, //patacongo, //patacongo@42af7a65-404d-4744-a932-0658087f49c3, //20120917, //NxWidgets/nxwm/src/cnxconsole.cxx, //526
NXWidgets::CNxTkWindow::bitmap, //0, //0, //patacongo, //patacongo@42af7a65-404d-4744-a932-0658087f49c3, //20120917, //NxWidgets/libnxwidgets/src/cnxtkwindow.cxx, //501
NXWidgets::CRlePaletteBitmap::copyColor, //2, //1, //patacongo, //patacongo@42af7a65-404d-4744-a932-0658087f49c3, //20120917, //NxWidgets/libnxwidgets/src/crlepalettebitmap.cxx, //359
NXWidgets::CRlePaletteBitmap::copyPixels, //1, //1, //patacongo, //patacongo@42af7a65-404d-4744-a932-0658087f49c3, //20120917, //NxWidgets/libnxwidgets/src/crlepalettebitmap.cxx, //389
NXWidgets::CRlePaletteBitmap::getRun, //0, //0, //patacongo, //patacongo@42af7a65-404d-4744-a932-0658087f49c3, //20120917, //NxWidgets/libnxwidgets/src/crlepalettebitmap.cxx, //190
operator delete[], //4, //1, //patacongo, //patacongo@42af7a65-404d-4744-a932-0658087f49c3, //20120917, //nuttx/libxx/libxx_deletea.cxx, //59
NXWidgets::CNxToolbar::bitmap, //0, //0, //patacongo, //patacongo@42af7a65-404d-4744-a932-0658087f49c3, //20120917, //NxWidgets/libnxwidgets/src/cnxtoolbar.cxx, //374
NXWidgets::CCallback::position, //0, //0, //patacongo, //patacongo@42af7a65-404d-4744-a932-0658087f49c3, //20120917, //NxWidgets/libnxwidgets/src/ccallback.cxx, //137
NXWidgets::CCallback::redraw, //0, //0, //patacongo, //patacongo@42af7a65-404d-4744-a932-0658087f49c3, //20120917, //NxWidgets/libnxwidgets/src/ccallback.cxx, //106
NxWM::CKeyboard::listener, //0, //0, //patacongo, //patacongo@42af7a65-404d-4744-a932-0658087f49c3, //20120917, //NxWidgets/nxwm/src/ckeyboard.cxx, //168
NxWM::CCalibration::calibration, //0, //0, //patacongo, //patacongo@42af7a65-404d-4744-a932-0658087f49c3, //20120917, //NxWidgets/nxwm/src/ccalibration.cxx, //426
NXWidgets::CBgWindow::bitmap, //0, //0, //patacongo, //patacongo@42af7a65-404d-4744-a932-0658087f49c3, //20120917, //NxWidgets/libnxwidgets/src/cbgwindow.cxx, //369
NxWM::CWindowMessenger::handleBlockedEvent, //0, //0, //patacongo, //patacongo@42af7a65-404d-4744-a932-0658087f49c3, //20120917, //NxWidgets/nxwm/src/cwindowmessenger.cxx, //214

