function template, instantiations, multiple overload instantiations, developer, email, edit time, definition file path, line
provide, //32, //1, //graydon, //graydon, //20050729, //staptree.h, //846
require, //42, //4, //graydon, //graydon, //20050729, //staptree.h, //807
stringify, //1, //1, //fche, //fche, //20050705, //main.cxx, //104
stringify, //2, //1, //fche, //fche, //20051208, //buildrun.cxx, //48
lex_cast, //2, //1, //fche, //fche, //20051018, //elaborate.cxx, //29
lex_cast, //12, //4, //fche, //fche, //20050905, //tapsets.cxx, //48
lex_cast_qstring, //1, //1, //fche, //fche, //20050928, //buildrun.cxx, //27
lex_cast_hex, //0, //0, //fche, //fche, //20050905, //tapsets.cxx, //58
stringify, //15, //4, //fche, //fche, //20050530, //translate.cxx, //31
lex_cast_qstring, //19, //2, //fche, //fche, //20050905, //translate.cxx, //40
lex_cast_qstring, //1, //1, //fche, //fche, //20051212, //staptree.cxx, //22
lex_cast_qstring, //6, //2, //fche, //fche, //20050905, //tapsets.cxx, //70
resolve_2types, //4, //1, //fche, //fche, //20050521, //elaborate.cxx, //1821

generic function-like macro, instantiations, multiple overload instantiations, developer, email, edit time, definition file path, line

function implemented with void*, instantiations, multiple overload instantiations, developer, email, edit time, definition file path, line
free_percpu, //0, //0, //hunt, //hunt, //20050618, //runtime/user/emul.h, //52
dwflpp::iterate_over_cus, //0, //0, //graydon, //graydon, //20050621, //tapsets.cxx, //729
dwflpp::iterate_over_functions, //0, //0, //roland, //roland, //20051031, //tapsets.cxx, //763
dwflpp::iterate_over_inline_instances, //0, //0, //fche, //fche, //20050825, //tapsets.cxx, //753
dwflpp::iterate_over_modules, //0, //0, //graydon, //graydon, //20050621, //tapsets.cxx, //714
dwflpp::iterate_over_srcfile_lines, //0, //0, //fche, //fche, //20050825, //tapsets.cxx, //796
dwflpp::loc2c_emit_address, //0, //0, //roland, //roland, //20050818, //tapsets.cxx, //1100
dwflpp::loc2c_error, //0, //0, //roland, //roland, //20050818, //tapsets.cxx, //1089
dwflpp::query_cu_containing_global_address, //0, //0, //fche, //fche, //20050825, //tapsets.cxx, //559
dwflpp::query_cu_containing_module_address, //0, //0, //fche, //fche, //20050825, //tapsets.cxx, //571
query_cu, //0, //0, //graydon, //graydon, //20050621, //tapsets.cxx, //2340
query_dwarf_func, //0, //0, //roland, //roland, //20051031, //tapsets.cxx, //2259
query_dwarf_inline_instance, //0, //0, //fche, //fche, //20050825, //tapsets.cxx, //2205
query_kernel_exists, //0, //0, //fche, //fche, //20051001, //tapsets.cxx, //2439
query_module, //0, //0, //graydon, //graydon, //20050621, //tapsets.cxx, //2453
query_srcfile_line, //0, //0, //fche, //fche, //20050825, //tapsets.cxx, //2164
symbol_cache::function_callback, //0, //0, //graydon, //graydon, //20051210, //tapsets.cxx, //318
__relay_write, //0, //0, //hunt, //hunt, //20050407, //runtime/relayfs/linux/relayfs_fs.h, //215
relay_write, //0, //0, //hunt, //hunt, //20050407, //runtime/relayfs/linux/relayfs_fs.h, //187

