function template, instantiations, multiple overload instantiations, developer, email, edit time, definition file path, line
stringify, //1, //1, //fche, //fche, //20050705, //main.cxx, //101
lex_cast, //2, //1, //fche, //fche, //20051018, //elaborate.cxx, //29
lex_cast_qstring, //1, //1, //fche, //fche, //20051212, //staptree.cxx, //22
lex_cast_hex, //0, //0, //fche, //fche, //20050905, //tapsets.cxx, //57
stringify, //2, //1, //fche, //fche, //20051208, //buildrun.cxx, //47
lex_cast, //11, //4, //fche, //fche, //20050905, //tapsets.cxx, //47
lex_cast_qstring, //4, //2, //fche, //fche, //20050905, //tapsets.cxx, //69
lex_cast_qstring, //19, //2, //fche, //fche, //20050905, //translate.cxx, //37
stringify, //16, //4, //fche, //fche, //20050530, //translate.cxx, //28
provide, //32, //1, //graydon, //graydon, //20050729, //staptree.h, //804
require, //42, //4, //graydon, //graydon, //20050729, //staptree.h, //765
lex_cast_qstring, //1, //1, //fche, //fche, //20050928, //buildrun.cxx, //26
resolve_2types, //4, //1, //fche, //fche, //20050521, //elaborate.cxx, //1516

generic function-like macro, instantiations, multiple overload instantiations, developer, email, edit time, definition file path, line

function implemented with void*, instantiations, multiple overload instantiations, developer, email, edit time, definition file path, line
__relay_write, //0, //0, //hunt, //hunt, //20050407, //runtime/relayfs/linux/relayfs_fs.h, //215
relay_write, //0, //0, //hunt, //hunt, //20050407, //runtime/relayfs/linux/relayfs_fs.h, //187
dwflpp::iterate_over_cus, //0, //0, //graydon, //graydon, //20050621, //tapsets.cxx, //703
dwflpp::iterate_over_functions, //0, //0, //roland, //roland, //20051031, //tapsets.cxx, //737
dwflpp::iterate_over_inline_instances, //0, //0, //fche, //fche, //20050825, //tapsets.cxx, //727
dwflpp::iterate_over_modules, //0, //0, //graydon, //graydon, //20050621, //tapsets.cxx, //688
dwflpp::iterate_over_srcfile_lines, //0, //0, //fche, //fche, //20050825, //tapsets.cxx, //770
dwflpp::loc2c_emit_address, //0, //0, //roland, //roland, //20050818, //tapsets.cxx, //1074
dwflpp::loc2c_error, //0, //0, //roland, //roland, //20050818, //tapsets.cxx, //1063
dwflpp::query_cu_containing_global_address, //0, //0, //fche, //fche, //20050825, //tapsets.cxx, //524
dwflpp::query_cu_containing_module_address, //0, //0, //fche, //fche, //20050825, //tapsets.cxx, //536
query_cu, //0, //0, //graydon, //graydon, //20050621, //tapsets.cxx, //2304
query_dwarf_func, //0, //0, //roland, //roland, //20051031, //tapsets.cxx, //2224
query_dwarf_inline_instance, //0, //0, //fche, //fche, //20050825, //tapsets.cxx, //2171
query_kernel_exists, //0, //0, //fche, //fche, //20051001, //tapsets.cxx, //2403
query_module, //0, //0, //graydon, //graydon, //20050621, //tapsets.cxx, //2417
query_srcfile_line, //0, //0, //fche, //fche, //20050825, //tapsets.cxx, //2130
symbol_cache::function_callback, //0, //0, //graydon, //graydon, //20051210, //tapsets.cxx, //279
free_percpu, //0, //0, //hunt, //hunt, //20050618, //runtime/user/emul.h, //50

