class template, instantiations, multiple overload instantiations, developer, email, edit time, definition file path, line
com::sun::star::uno::Sequence, //6271, //185, //rcweir, //rcweir@unknown, //20110816, //main/cppu/inc/com/sun/star/uno/Sequence.h, //58
formula::SimpleIntrusiveReference, //6, //6, //rcweir, //rcweir@unknown, //20110816, //main/formula/inc/formula/intruref.hxx, //40
ary::TypedId, //13, //8, //rcweir, //rcweir@unknown, //20110816, //main/autodoc/inc/ary/types.hxx, //87
List, //762, //44, //rcweir, //rcweir@unknown, //20110816, //main/xml2cmp/source/support/list.hxx, //32
wwString, //1, //1, //rcweir, //rcweir@unknown, //20110816, //main/sw/source/filter/ww8/ww8scan.hxx, //83
DynamicList, //16, //2, //rcweir, //rcweir@unknown, //20110816, //main/xml2cmp/source/support/list.hxx, //105
rtl::Reference, //827, //221, //rcweir, //rcweir@unknown, //20110816, //main/sal/inc/rtl/ref.hxx, //52
comphelper::OPropertyArrayUsageHelper, //35, //29, //rcweir, //rcweir@unknown, //20110816, //main/comphelper/inc/comphelper/proparrhlp.hxx, //54
osl::Guard, //58, //4, //rcweir, //rcweir@unknown, //20110816, //main/sal/inc/osl/mutex.hxx, //127
ScfRef, //185, //163, //rcweir, //rcweir@unknown, //20110816, //main/sc/source/filter/inc/ftools.hxx, //150
csv::range, //17, //7, //rcweir, //rcweir@unknown, //20110816, //main/cosv/inc/cosv/tpl/range.hxx, //45
UniReference, //33, //5, //rcweir, //rcweir@unknown, //20110816, //main/xmloff/inc/xmloff/uniref.hxx, //39
pcr::HandlerComponentBase, //9, //9, //rcweir, //rcweir@unknown, //20110816, //main/extensions/source/propctrlr/propertyhandler.hxx, //396
CallFunction, //21, //16, //rcweir, //rcweir@unknown, //20110816, //main/autodoc/source/parser/inc/semantic/callf.hxx, //41
PeStatus, //11, //1, //rcweir, //rcweir@unknown, //20110816, //main/autodoc/source/parser/inc/semantic/callf.hxx, //66
PeStatusArray, //21, //15, //rcweir, //rcweir@unknown, //20110816, //main/autodoc/source/parser/inc/semantic/callf.hxx, //97
csv::Dyn, //282, //158, //rcweir, //rcweir@unknown, //20110816, //main/cosv/inc/cosv/tpl/dyn.hxx, //60
safe_list, //1, //1, //rcweir, //rcweir@unknown, //20110816, //main/extensions/inc/ucbhelper/ext_content.hxx, //55
oox::RefMap, //13, //10, //rcweir, //rcweir@unknown, //20110816, //main/oox/inc/oox/helper/refmap.hxx, //44
oox::RefVector, //22, //18, //rcweir, //rcweir@unknown, //20110816, //main/oox/inc/oox/helper/refvector.hxx, //44
ary::Dyn_StdConstIterator, //33, //12, //rcweir, //rcweir@unknown, //20110816, //main/autodoc/inc/ary/stdconstiter.hxx, //70
ary::NameTreeNode, //10, //2, //rcweir, //rcweir@unknown, //20110816, //main/autodoc/source/ary/inc/nametreenode.hxx, //45
rtl::Static, //1, //1, //rcweir, //rcweir@unknown, //20110816, //main/sal/inc/rtl/instance.hxx, //360
TreeVisitor, //1, //1, //rcweir, //rcweir@unknown, //20110816, //main/svx/source/inc/treevisitor.hxx, //30
rtl::StaticWithInit, //0, //0, //rcweir, //rcweir@unknown, //20110816, //main/sal/inc/rtl/instance.hxx, //441
SwIterator, //0, //0, //rcweir, //rcweir@unknown, //20110816, //main/sw/inc/switerator.hxx, //29
comphelper::OIdPropertyArrayUsageHelper, //15, //12, //rcweir, //rcweir@unknown, //20110816, //main/comphelper/inc/comphelper/IdPropArrayHelper.hxx, //46
lux::Enum, //16, //5, //rcweir, //rcweir@unknown, //20110816, //main/autodoc/source/inc/luxenum.hxx, //44
salhelper::BoundedQueue, //3, //1, //rcweir, //rcweir@unknown, //20110816, //main/salhelper/inc/salhelper/queue.hxx, //142
