class template, instantiations, multiple overload instantiations, developer, email, edit time, definition file path, line
QArray, //26, //6, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20001015, //qtools/qarray.h, //46
QDict, //84, //32, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20001015, //qtools/qdict.h, //46
QList, //177, //52, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20001015, //qtools/qlist.h, //46
SDict, //9, //4, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20001217, //src/sortdict.h, //90
QIntDict, //16, //8, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20001015, //qtools/qintdict.h, //46
QIntDictIterator, //1, //1, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20001015, //qtools/qintdict.h, //85
QListIterator, //115, //35, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20001015, //qtools/qlist.h, //108
SIntDict, //3, //1, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20011125, //src/sortdict.h, //296
BaseHandler, //0, //0, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20020122, //addon/doxmlparser/src/basehandler.h, //126
BaseIterator, //0, //0, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20011229, //addon/doxmlparser/src/baseiterator.h, //21
QMap, //22, //8, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20001203, //qtools/qmap.h, //501
QMapConstIterator, //12, //2, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20001203, //qtools/qmap.h, //185
QMapIterator, //12, //2, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20001203, //qtools/qmap.h, //86
QMapPrivate, //2, //1, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20001203, //qtools/qmap.h, //311
CompAccept, //29, //29, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20020804, //src/docparser.h, //120
QDictIterator, //26, //12, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20001015, //qtools/qdict.h, //89
QValueList, //17, //2, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20001015, //qtools/qvaluelist.h, //307
QValueStack, //2, //2, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20001203, //qtools/qvaluestack.h, //47
QStack, //12, //7, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20001015, //qtools/qstack.h, //46
ElementMapper, //0, //0, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20010801, //addon/doxmlparser/src/basehandler.h, //48
SIntList, //1, //1, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20011125, //src/sortdict.h, //279
SList, //1, //1, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20000813, //src/sortdict.h, //73
QAsciiDict, //6, //2, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20001015, //qtools/qasciidict.h, //46
QValueListConstIterator, //12, //1, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20001015, //qtools/qvaluelist.h, //119
QValueListIterator, //12, //1, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20001015, //qtools/qvaluelist.h, //67
QValueListNode, //6, //1, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20001015, //qtools/qvaluelist.h, //51
QValueListPrivate, //2, //1, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20001015, //qtools/qvaluelist.h, //171
QVector, //5, //2, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20001015, //qtools/qvector.h, //46
BaseFallBackHandler, //0, //0, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20010801, //addon/doxmlparser/src/basehandler.h, //284
BaseIteratorVia, //0, //0, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20020401, //addon/doxmlparser/src/baseiterator.h, //36
QSortedList, //4, //1, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20001015, //qtools/qsortedlist.h, //46
ValStack, //2, //1, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20010801, //src/xmlgen.cpp, //140
QAsciiDictIterator, //0, //0, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20001015, //qtools/qasciidict.h, //78
QTextOStreamIterator, //4, //1, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20001015, //qtools/qtl.h, //47
Test, //5, //3, //mueller, //mueller@afe2bf4a-e733-0410-8a33-86f594647bc7, //19991215, //examples/templ.cpp, //3
Test, //0, //0, //mueller, //mueller@afe2bf4a-e733-0410-8a33-86f594647bc7, //19991215, //examples/templ.cpp, //18
QPtrDict, //7, //2, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20001015, //qtools/qptrdict.h, //46
QPtrDictIterator, //0, //0, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20001015, //qtools/qptrdict.h, //86
QQueue, //4, //1, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20001015, //qtools/qqueue.h, //46
QMapNode, //10, //2, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20001203, //qtools/qmap.h, //74

base class, developer, email, edit time, definition file path, line, sub-class hierarchy
QString, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20001015, //qtools/qstring.h, //349, //0:QString//1:QConstString//1:StringImpl
QCollection, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20001015, //qtools/qcollection.h, //51, //0:QCollection//1:QGList//2:QList//3:GroupList//3:MemberList//3:DefineList//3:DefineName//3:DefineNameList//3:IndexFieldList//3:SIntList//3:SList//3:SuffixNodeList//3:MemberGroupList//3:MemberName//3:MemberNameInfo//3:FormulaList//3:DefinitionList//3:DotNodeList//3:QSortedList//3:NamespaceList//3:ClassList//3:DiagramItemList//3:DiagramRow//3:TreeDiagram//3:ArgumentList//3:QGDItList//3:BaseClassList//3:FileNameList//3:HtmlAttribList//3:FileList//3:OutputNameList//2:QStack//2:QQueue//1:QGDict//2:QIntDict//2:QDict//3:MemberDict//3:IndexFieldDict//3:SectionDict//3:FormulaDict//3:NamespaceDict//3:StringDict//3:ClassDict//3:UsesClassDict//3:FileNameDict//3:OutputNameDict//2:QAsciiDict//2:QPtrDict//1:QGVector//2:QVector
QTextStream, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20001015, //qtools/qtextstream.h, //53, //0:QTextStream//1:QTextIStream//1:QTextOStream
QGListIterator, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20001015, //qtools/qglist.h, //212, //0:QGListIterator//1:QListIterator//2:GroupListIterator//2:MemberListIterator//2:IndexFieldListIterator//2:MemberGroupListIterator//2:MemberNameInfoIterator//2:MemberNameIterator//2:FormulaListIterator//2:DefinitionListIterator//2:NamespaceListIterator//2:BaseIterator//3:RelatedCompoundIterator//3:ChildNodeIterator//3:EdgeLabelIterator//3:NodeIterator//3:EnumValueIterator//3:MemberIterator//3:MemberReferenceIterator//3:SectionIterator//3:LinkedTextIterator//3:ParamIterator//2:BaseIteratorVia//3:CodeLineIterator//3:DocIterator//3:DocSectionIterator//3:EntryIterator//3:HighlightIterator//3:ItemizedListIterator//3:ListItemIterator//3:OrderedListIterator//3:ParagraphIterator//3:ParameterListIterator//3:ProgramListingIterator//3:RowIterator//3:TableIterator//3:TitleIterator//3:VariableListIterator//2:ClassListIterator//2:DiagramRowIterator//2:BaseClassListIterator//2:CompoundEntryIterator//2:CompoundIdIterator//2:FileNameIterator//2:FileNameListIterator//2:HtmlAttribListIterator
A, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20000215, //examples/diagrams_a.h, //3, //0:A//1:D//2:E
B, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20000215, //examples/diagrams_b.h, //4, //0:B//1:D//2:E
QBaseBucket, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20001015, //qtools/qgdict.h, //50, //0:QBaseBucket//1:QAsciiBucket//1:QIntBucket//1:QPtrBucket//1:QStringBucket
QGDictIterator, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20001015, //qtools/qgdict.h, //167, //0:QGDictIterator//1:QIntDictIterator//1:QDictIterator//2:UsesClassDictIterator//1:QAsciiDictIterator//1:QPtrDictIterator
Definition, //mueller, //mueller@afe2bf4a-e733-0410-8a33-86f594647bc7, //19991215, //src/definition.h, //36, //0:Definition//1:PackageDef//1:GroupDef//1:NamespaceDef//1:MemberDef//1:ClassDef//1:FileDef
Translator, //mueller, //mueller@afe2bf4a-e733-0410-8a33-86f594647bc7, //19991215, //src/translator.h, //26, //0:Translator//1:TranslatorRussian//1:TranslatorJapanese//1:TranslatorCzech//1:TranslatorItalian//1:TranslatorBrazilian//1:TranslatorCroatian//1:TranslatorDutch//1:TranslatorAdapterBase//2:TranslatorAdapter_1_2_17//3:TranslatorAdapter_1_2_16//4:TranslatorAdapter_1_2_13//5:TranslatorAdapter_1_2_11//6:TranslatorAdapter_1_2_7//7:TranslatorAdapter_1_2_6//8:TranslatorAdapter_1_2_5//9:TranslatorAdapter_1_2_4//10:TranslatorAdapter_1_2_2//11:TranslatorAdapter_1_2_1//12:TranslatorHungarian//11:TranslatorNorwegian//7:TranslatorSpanish//7:TranslatorDanish//6:TranslatorGreek//6:TranslatorUkrainian//5:TranslatorKorean//5:TranslatorChinese//4:TranslatorRomanian//4:TranslatorSlovene//4:TranslatorChinesetraditional//3:TranslatorGerman//3:TranslatorPolish//3:TranslatorFrench//3:TranslatorCatalan//3:TranslatorSerbian//1:TranslatorSlovak//1:TranslatorEnglish//2:TranslatorJapaneseEn//2:TranslatorSwedish//2:TranslatorFinnish//1:TranslatorPortuguese
ICompound, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20011229, //addon/doxmlparser/src/doxmlintf.h, //638, //0:ICompound//1:IClass//2:CompoundHandler//1:IException//2:CompoundHandler//1:IFile//2:CompoundHandler//1:IGroup//2:CompoundHandler//1:IInterface//2:CompoundHandler//1:INamespace//2:CompoundHandler//1:IPage//2:CompoundHandler//1:IStruct//2:CompoundHandler//1:IUnion//2:CompoundHandler
ICompoundIterator, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20020401, //addon/doxmlparser/src/doxmlintf.h, //697, //0:ICompoundIterator//1:CompoundEntryIterator//1:CompoundIdIterator
IGraph, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20020310, //addon/doxmlparser/src/doxmlintf.h, //473, //0:IGraph//1:GraphHandler
IMember, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20011229, //addon/doxmlparser/src/doxmlintf.h, //479, //0:IMember//1:MemberHandler
