class template, instantiations, multiple overload instantiations, developer, email, edit time, definition file path, line
caller1, //5, //3, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20070725, //include/caller.h, //145
HandlerBase0, //2, //1, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20070725, //include/caller.h, //51
HandlerBase1, //2, //1, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20070725, //include/caller.h, //58
HandlerBase2, //2, //1, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20070725, //include/caller.h, //65
HandlerBase3, //2, //1, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20070725, //include/caller.h, //72
HandlerBase4, //2, //1, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20070725, //include/caller.h, //79
HandlerBase5, //2, //1, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20070725, //include/caller.h, //86
HandlerBase6, //2, //1, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20070725, //include/caller.h, //93
HandlerBase7, //2, //0, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20070725, //include/caller.h, //100
HandlerBase8, //2, //0, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20070725, //include/caller.h, //107
caller, //0, //0, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20070725, //include/caller.h, //114
caller0, //0, //0, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20070725, //include/caller.h, //132
caller2, //0, //0, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20070725, //include/caller.h, //158
caller3, //0, //0, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20070725, //include/caller.h, //171
caller4, //0, //0, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20070725, //include/caller.h, //184
caller5, //0, //0, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20070725, //include/caller.h, //197
caller6, //0, //0, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20070725, //include/caller.h, //210
caller7, //0, //0, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20070725, //include/caller.h, //223
caller8, //0, //0, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20070725, //include/caller.h, //236
DLLFactory, //1, //1, //om, //om@e03df62e-2008-0410-955e-edbf42e46eb7, //20070828, //include/dynamic.h, //100
ValueContainer, //4, //4, //peavey, //peavey@e03df62e-2008-0410-955e-edbf42e46eb7, //20070716, //include/configreader.h, //106

base class, developer, email, edit time, definition file path, line, sub-class hierarchy
VisData, //peavey, //peavey@e03df62e-2008-0410-955e-edbf42e46eb7, //20070716, //include/users.h, //420, //0:VisData//1:QuietOper
XLineFactory, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20071031, //include/xline.h, //384, //0:XLineFactory//1:ELineFactory//1:GLineFactory//1:KLineFactory//1:QLineFactory//1:ZLineFactory
DLLManager, //peavey, //peavey@e03df62e-2008-0410-955e-edbf42e46eb7, //20070716, //include/dynamic.h, //22, //0:DLLManager//1:DLLFactory
ValueContainerBase, //peavey, //peavey@e03df62e-2008-0410-955e-edbf42e46eb7, //20070716, //include/configreader.h, //89, //0:ValueContainerBase//1:ValueContainer
FounderProtectBase, //peavey, //peavey@e03df62e-2008-0410-955e-edbf42e46eb7, //20070716, //src/modules/m_chanprotect.cpp, //31, //0:FounderProtectBase//1:ChanFounder//1:ChanProtect
RemoveBase, //peavey, //peavey@e03df62e-2008-0410-955e-edbf42e46eb7, //20070716, //src/modules/m_remove.cpp, //26, //0:RemoveBase//1:CommandFpart//1:CommandRemove
