class template, instantiations, multiple overload instantiations, developer, email, edit time, definition file path, line
caller2, //2, //1, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20070725, //include/caller.h, //158
caller1, //6, //5, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20070725, //include/caller.h, //145
DLLFactory, //1, //1, //om, //om@e03df62e-2008-0410-955e-edbf42e46eb7, //20070828, //include/dynamic.h, //98
HandlerBase1, //2, //1, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20070725, //include/caller.h, //58
HandlerBase2, //2, //1, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20070725, //include/caller.h, //65
ValueContainer, //5, //5, //peavey, //peavey@e03df62e-2008-0410-955e-edbf42e46eb7, //20070716, //include/configreader.h, //109
HandlerBase0, //2, //1, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20070725, //include/caller.h, //51
HandlerBase3, //2, //1, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20070725, //include/caller.h, //72
HandlerBase4, //2, //1, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20070725, //include/caller.h, //79
HandlerBase5, //2, //1, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20070725, //include/caller.h, //86
HandlerBase6, //2, //1, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20070725, //include/caller.h, //93
HandlerBase7, //2, //0, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20070725, //include/caller.h, //100
HandlerBase8, //2, //0, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20070725, //include/caller.h, //107
caller, //0, //0, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20070725, //include/caller.h, //114
caller0, //0, //0, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20070725, //include/caller.h, //132
caller3, //0, //0, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20070725, //include/caller.h, //171
caller4, //0, //0, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20070725, //include/caller.h, //184
caller5, //0, //0, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20070725, //include/caller.h, //197
caller6, //0, //0, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20070725, //include/caller.h, //210
caller7, //0, //0, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20070725, //include/caller.h, //223
caller8, //0, //0, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20070725, //include/caller.h, //236

base class, developer, email, edit time, definition file path, line, sub-class hierarchy
VisData, //peavey, //peavey@e03df62e-2008-0410-955e-edbf42e46eb7, //20070716, //include/users.h, //396, //0:VisData//1:QuietOper
RemoveBase, //peavey, //peavey@e03df62e-2008-0410-955e-edbf42e46eb7, //20070716, //src/modules/m_remove.cpp, //26, //0:RemoveBase//1:CommandFpart//1:CommandRemove
ValueContainerBase, //peavey, //peavey@e03df62e-2008-0410-955e-edbf42e46eb7, //20070716, //include/configreader.h, //92, //0:ValueContainerBase//1:ValueContainer
DLLManager, //peavey, //peavey@e03df62e-2008-0410-955e-edbf42e46eb7, //20070716, //include/dynamic.h, //20, //0:DLLManager//1:DLLFactory
FounderProtectBase, //peavey, //peavey@e03df62e-2008-0410-955e-edbf42e46eb7, //20070716, //src/modules/m_chanprotect.cpp, //23, //0:FounderProtectBase//1:ChanFounder//1:ChanProtect
