class implementing CRTP, uses, developer, email, edit time, definition file path, line
CompoundHandler, //79, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20020401, //addon/doxmlparser/src/compoundhandler.h, //69
DocHandler, //25, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20020401, //addon/doxmlparser/src/dochandler.h, //1286
ProgramListingHandler, //16, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20020401, //addon/doxmlparser/src/dochandler.h, //842
TitleHandler, //15, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20020401, //addon/doxmlparser/src/dochandler.h, //626
GraphHandler, //21, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20020310, //addon/doxmlparser/src/graphhandler.h, //28
ListOfAllMembersHandler, //14, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20021030, //addon/doxmlparser/src/loamhandler.h, //28
MainHandler, //39, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20010923, //addon/doxmlparser/src/mainhandler.h, //45
MemberHandler, //82, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20021030, //addon/doxmlparser/src/memberhandler.h, //103
TemplateParamListHandler, //9, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20021020, //addon/doxmlparser/src/paramhandler.h, //73
SectionHandler, //23, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20030215, //addon/doxmlparser/src/sectionhandler.h, //37
LinkedTextHandler, //16, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20011229, //addon/doxmlparser/src/linkedtexthandler.h, //28
DocAutoList, //37, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20020804, //src/docparser.h, //500
DocCopy, //32, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20020915, //src/docparser.h, //483
DocDotFile, //32, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20020804, //src/docparser.h, //585
DocHRef, //32, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20020804, //src/docparser.h, //691
DocHtmlCaption, //32, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20020804, //src/docparser.h, //1094
DocHtmlCell, //32, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20020804, //src/docparser.h, //1068
DocHtmlDescData, //32, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20020804, //src/docparser.h, //1051
DocHtmlDescList, //32, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20020804, //src/docparser.h, //744
DocHtmlDescTitle, //32, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20020804, //src/docparser.h, //727
DocHtmlHeader, //32, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20020804, //src/docparser.h, //708
DocHtmlList, //51, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20020804, //src/docparser.h, //849
DocHtmlListItem, //32, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20020804, //src/docparser.h, //1032
DocHtmlRow, //34, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20020804, //src/docparser.h, //1112
DocHtmlTable, //33, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20020804, //src/docparser.h, //1130
DocImage, //54, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20020804, //src/docparser.h, //560
DocInternal, //33, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20020804, //src/docparser.h, //821
