class implementing CRTP, uses, developer, email, edit time, definition file path, line
CompoundHandler, //89, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20020401, //addon/doxmlparser/src/compoundhandler.h, //101
IncludeHandler, //12, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20040928, //addon/doxmlparser/src/compoundhandler.h, //39
DocHandler, //30, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20020401, //addon/doxmlparser/src/dochandler.h, //1315
ProgramListingHandler, //16, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20020401, //addon/doxmlparser/src/dochandler.h, //871
TitleHandler, //15, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20020401, //addon/doxmlparser/src/dochandler.h, //655
GraphHandler, //21, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20020310, //addon/doxmlparser/src/graphhandler.h, //28
ListOfAllMembersHandler, //18, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20021030, //addon/doxmlparser/src/loamhandler.h, //28
MainHandler, //39, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20010923, //addon/doxmlparser/src/mainhandler.h, //45
MemberHandler, //101, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20021030, //addon/doxmlparser/src/memberhandler.h, //111
TemplateParamListHandler, //9, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20021020, //addon/doxmlparser/src/paramhandler.h, //77
SectionHandler, //23, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20030215, //addon/doxmlparser/src/sectionhandler.h, //37
LinkedTextHandler, //16, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20011229, //addon/doxmlparser/src/linkedtexthandler.h, //28
DocAutoList, //37, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20020804, //src/docparser.h, //510
DocCopy, //32, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20020915, //src/docparser.h, //493
DocDotFile, //33, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20020804, //src/docparser.h, //603
DocHRef, //32, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20020804, //src/docparser.h, //716
DocHtmlCaption, //32, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20020804, //src/docparser.h, //1140
DocHtmlCell, //32, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20020804, //src/docparser.h, //1114
DocHtmlDescData, //32, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20020804, //src/docparser.h, //1097
DocHtmlDescList, //32, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20020804, //src/docparser.h, //771
DocHtmlDescTitle, //32, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20020804, //src/docparser.h, //754
DocHtmlHeader, //32, //dimitri, //dimitri@afe2bf4a-e733-0410-8a33-86f594647bc7, //20020804, //src/docparser.h, //735
