class implementing CRTP, uses, developer, email, edit time, definition file path, line

virtual function, calls, developer, email, edit time, definition file path, line
CommandServer::Handle, //0, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20080220, //src/commands/cmd_server.cpp, //24
ModeWatcher::BeforeMode, //0, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20080218, //src/mode.cpp, //170
Module::GetVersion, //0, //peavey, //peavey@e03df62e-2008-0410-955e-edbf42e46eb7, //20070716, //src/modules.cpp, //121
Module::OnChannelDelete, //0, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20071023, //src/modules.cpp, //186
Module::OnCleanup, //0, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20071023, //src/modules.cpp, //184
Module::OnRehash, //0, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20071023, //src/modules.cpp, //117
Module::OnUserPreJoin, //0, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20071023, //src/modules.cpp, //119
Module::Prioritize, //0, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20071104, //include/modules.h, //435
BanRedirect::BeforeMode, //0, //w00t, //w00t@e03df62e-2008-0410-955e-edbf42e46eb7, //20080218, //src/modules/m_banredirect.cpp, //47
ModuleBanRedirect::GetVersion, //0, //peavey, //peavey@e03df62e-2008-0410-955e-edbf42e46eb7, //20070716, //src/modules/m_banredirect.cpp, //327
ModuleBanRedirect::OnChannelDelete, //0, //w00t, //w00t@e03df62e-2008-0410-955e-edbf42e46eb7, //20071015, //src/modules/m_banredirect.cpp, //209
ModuleBanRedirect::OnCleanup, //0, //peavey, //peavey@e03df62e-2008-0410-955e-edbf42e46eb7, //20070716, //src/modules/m_banredirect.cpp, //214
ModuleBanRedirect::OnRehash, //0, //w00t, //w00t@e03df62e-2008-0410-955e-edbf42e46eb7, //20071015, //src/modules/m_banredirect.cpp, //256
ModuleBanRedirect::OnUserPreJoin, //0, //w00t, //w00t@e03df62e-2008-0410-955e-edbf42e46eb7, //20080211, //src/modules/m_banredirect.cpp, //261
ModuleBanRedirect::Prioritize, //0, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20071104, //src/modules/m_banredirect.cpp, //332
Module::OnSyncUserMetaData, //0, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20071023, //src/modules.cpp, //174
Module::ProtoSendMetaData, //0, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20071023, //src/modules.cpp, //177
CommandTaxonomy::Handle, //0, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20080220, //src/modules/m_taxonomy.cpp, //32
ModuleTaxonomy::GetVersion, //0, //peavey, //peavey@e03df62e-2008-0410-955e-edbf42e46eb7, //20070716, //src/modules/m_taxonomy.cpp, //87
ModuleTaxonomy::ProtoSendMetaData, //0, //peavey, //peavey@e03df62e-2008-0410-955e-edbf42e46eb7, //20070716, //src/modules/m_taxonomy.cpp, //72
ModeHandler::GetCount, //0, //peavey, //peavey@e03df62e-2008-0410-955e-edbf42e46eb7, //20070716, //src/mode.cpp, //86
Module::OnHookUserIO, //0, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20080324, //src/modules.cpp, //197
XLine::Apply, //0, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20071028, //src/xline.cpp, //390
ModeHandler::CheckTimeStamp, //0, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20071023, //src/mode.cpp, //147
ModeHandler::ModeSet, //0, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20071023, //src/mode.cpp, //127
ModeHandler::OnModeChange, //0, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20080218, //src/mode.cpp, //122
Module::OnUserKick, //0, //brain, //brain@e03df62e-2008-0410-955e-edbf42e46eb7, //20071023, //src/modules.cpp, //142
KickRejoin::CheckTimeStamp, //0, //w00t, //w00t@e03df62e-2008-0410-955e-edbf42e46eb7, //20071015, //src/modules/m_kicknorejoin.cpp, //43
KickRejoin::ModeSet, //0, //w00t, //w00t@e03df62e-2008-0410-955e-edbf42e46eb7, //20071015, //src/modules/m_kicknorejoin.cpp, //35
KickRejoin::OnModeChange, //0, //w00t, //w00t@e03df62e-2008-0410-955e-edbf42e46eb7, //20080218, //src/modules/m_kicknorejoin.cpp, //49
